Nejdřívější datum,Mise,Raketa / Dragon,Orbita / cíl,Rampa,admin notes
6. 1. 2022,Starlink 4-5,F9,LEO,LC-39A, csv.local
13. 1. 2022,Transporter-3,F9,LEO (SSO),SLC-40,
konec 1/2022,CSG-2,F9,LEO (SSO),SLC-40,
2. 2. 2022,NROL-87,F9 (B1071.1?),LEO (SSO),SLC-4E,
28. 2. 2022,Ax-1,F9 + Dragon (C207.3),LEO (ISS),LC-39A,
začátek 2022,USSF-44,FH (B1064.1/B1065.1/B1066.1),GSO,LC-39A,
1. čtvrtletí 2022,O3b mPOWER 1–3,F9,MEO,Florida,
1. čtvrtletí 2022,IM-1,F9,?,LC-39A,
3/2022,Transporter-4,F9,LEO (SSO),SLC-40 / SLC-4E,
jaro 2022,ViaSat-3 Americas + Arcturus,FH (B1068.1 / ? / ?),GEO,LC-39A,
2. čtvrtletí 2022,USSF-52,FH (B1070.1? / ? / ?),GTO,LC-39A,
2. čtvrtletí 2022,Inmarsat-6 F2,FH?,GTO?,LC-39A,
15. 4. 2022,Crew-4,F9 + Dragon (nový),LEO (ISS),LC-39A,
4/2022,SARah 1,F9,LEO (SSO),SLC-4E,
4/2022,Nilesat-301,F9,GTO,Florida,
4/2022,EnMAP,F9,LEO (SSO),SLC-40,
15. 5. 2022,WorldView Legion 1,F9,LEO (SSO),SLC-4E,
5/2022,CRS-25,F9 + Dragon,LEO (ISS),LC-39A,
6/2022,Transporter-5,F9,LEO (SSO),SLC-40 / SLC-4E,
6/2022,GPSIII-SV06,F9,MEO,SLC-40,
6/2022,SARah 2+3,F9,LEO (SSO),SLC-4E,
polovina 2022,Amazonas Nexus,F9,GTO,Florida,
3. čtvrtletí 2022,SES-18/SES-19,F9,GTO,Florida,
3. čtvrtletí 2022,Intelsat Galaxy 31/32,F9,GTO,Florida,
3. čtvrtletí 2022,Intelsat Galaxy 33/34,F9,GTO,Florida,
2. polovina 2022,USSF-67,FH,?,LC-39A,
2. polovina 2022,O3b mPOWER 4–6,F9,MEO,Florida,
2. polovina 2022,WorldView Legion 2,F9,LEO,?,
1. 8. 2022,KPLO,F9,?,Florida,
1. 8. 2022,Psyche,FH,úniková,LC-39A,
9/2022,CRS-26,F9 + Dragon,LEO (ISS),LC-39A,
9/2022,TTL-1,F9,LEO (PO),SLC-4E,
9/2022,TTL-2,F9,LEO (PO),SLC-4E,
podzim 2022,Ax-2,F9 + Dragon,LEO (ISS),LC-39A,
10/2022,Transporter-6,F9,LEO (SSO),SLC-40 / SLC-4E,
25. 10. 2022,Crew-5,F9 + Dragon,LEO (ISS),LC-39A,
konec 2022,Intelsat 40e + TEMPO,F9,GTO,Florida,
11/2022,SWOT,F9,LEO,SLC-4E,
12/2022,IM-2,F9,TLI,LC-39A,
2022?,O3b mPOWER 7–9,F9,MEO,Florida,
2022,NROL-85,F9,LEO,SLC-40,
10. 1. 2023,CRS-27,F9 + Dragon,LEO (ISS),LC-39A,
začátek 2023,ASBM,F9,HEO,?,
1. 2. 2023,Crew-6,F9 + Dragon,LEO (ISS),LC-39A,
1. čtvrtletí 2023,USSF-36,F9,?,SLC-40,
1. čtvrtletí 2023,Türksat 6A,F9,GTO,Florida,
4/2023,Transporter-7,F9,LEO (SSO),SLC-40 / SLC-4E,
2023,Ax-3,F9 + Dragon,LEO (ISS),LC-39A,
6/2023,Transporter-8,F9,LEO (SSO),SLC-40 / SLC-4E,
1. polovina 2023,Satria,F9,GTO,Florida,
5. 6. 2023,CRS-28,F9 + Dragon,LEO (ISS),LC-39A,
3. čtvrtletí 2023,NROL-69,F9,?,SLC-40,
2. polovina 2023,Thuraya 4-NGS,F9,GTO,Florida,
9/2023,Blue Ghost,F9,TLI,Florida,
20. 10. 2023,CRS-29,F9 + Dragon,LEO (ISS),LC-39A,
10/2023,Transporter-9,F9,LEO (SSO),SLC-40 / SLC-4E,
30. 11. 2023,PACE,F9,LEO (SSO),Florida,
11/2023,MM1,?,?,?,
4. čtvrtletí 2023,Griffin Mission 1,FH,TLI,LC-39A,
4. čtvrtletí 2023,Test HLS bez posádky,Starship,Měsíc,?,
2023,Ax-4,F9 + Dragon,LEO (ISS),LC-39A,
2023,dearMoon,Starship,TLI,Boca Chica,
1. čtvrtletí 2024,IM-3,F9,?,LC-39A,
4/2024,GOES-U,FH,GTO?,LC-39A,
17. 6. 2024,SPHEREx,F9,LEO (PO),SLC-4E,
2. polovina 2024,O3b mPOWER 10–11,F9,MEO,Florida,
10/2024,Europa Clipper,FH,úniková,LC-39A,
11/2024,PPE/HALO,FH,GTO,LC-39A,
2024,GLS-1,FH + Dragon XL,TLI,LC-39A,
1. 2. 2025,IMAP,F9,úniková,Florida,
2025,HLS s posádkou,Starship,Měsíc,?,
2025,Skynet 6A,F9,GTO,Florida,
2026,GLS-2,FH + Dragon XL,TLI,LC-39A,
čt 6. 1.22:49,Start mise Starlink 4-5,,,,
čt 13. 1.16:25,Start mise Transporter-3,,,,
leden,Start mise CSG-2,,,,
2022,Start mise USSF-44,,,,
březen,Orbitální test Starship,,,,